Starting a Gradle Daemon, 2 busy and 1 incompatible and 14 stopped Daemons could not be reused, use --status for details
Calculating task graph as configuration cache cannot be reused because file 'order-receiver/build.gradle.kts' has changed.
> Task :order-sender:extractProto UP-TO-DATE
> Task :order-sender:extractIncludeProto UP-TO-DATE
> Task :order-sender:processResources UP-TO-DATE
> Task :order-sender:generateProto UP-TO-DATE
> Task :order-sender:compileJava
> Task :order-sender:classes

> Task :order-sender:run
19:48:05.939 [main] INFO  c.example.ordersender.SenderConfig - Using environment value for SENDER_ID: order-sender-1
19:48:11.255 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:11.256 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:11.257 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: SELL TSLA 941 shares @ ${:.2f}
19:48:11.278 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000001: FILLED
19:48:11.278 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000001', status='FILLED', message='Order filled successfully'}
19:48:11.279 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000001', status='FILLED', message='Order filled successfully'}
19:48:11.279 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: SELL TSLA 790 shares @ ${:.2f}
19:48:11.284 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000002: FILLED
19:48:11.284 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-2: OrderResponse{orderId='SENDER-000002', status='FILLED', message='Order filled successfully'}
19:48:11.284 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-2: OrderResponse{orderId='SENDER-000002', status='FILLED', message='Order filled successfully'}
19:48:14.259 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:14.260 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:14.260 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: BUY TSLA 644 shares @ ${:.2f}
19:48:14.262 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000003: FILLED
19:48:14.262 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000003', status='FILLED', message='Order filled successfully'}
19:48:14.262 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000003', status='FILLED', message='Order filled successfully'}
19:48:14.262 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: SELL AVGO 356 shares @ ${:.2f}
19:48:14.264 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000004: FILLED
19:48:14.264 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-2: OrderResponse{orderId='SENDER-000004', status='FILLED', message='Order filled successfully'}
19:48:14.264 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-2: OrderResponse{orderId='SENDER-000004', status='FILLED', message='Order filled successfully'}
19:48:17.256 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:17.257 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:17.257 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: BUY ADBE 341 shares @ ${:.2f}
19:48:17.258 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000005: FILLED
19:48:17.258 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000005', status='FILLED', message='Order filled successfully'}
19:48:17.259 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000005', status='FILLED', message='Order filled successfully'}
19:48:17.259 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: BUY ORCL 824 shares @ ${:.2f}
19:48:17.260 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000006: FILLED
19:48:17.260 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-2: OrderResponse{orderId='SENDER-000006', status='FILLED', message='Order filled successfully'}
19:48:17.260 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-2: OrderResponse{orderId='SENDER-000006', status='FILLED', message='Order filled successfully'}
19:48:20.254 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:20.254 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:20.254 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: BUY AVGO 562 shares @ ${:.2f}
19:48:20.256 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000007: FILLED
19:48:20.256 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000007', status='FILLED', message='Order filled successfully'}
19:48:20.256 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000007', status='FILLED', message='Order filled successfully'}
19:48:20.256 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: BUY AMZN 794 shares @ ${:.2f}
19:48:20.257 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000008: FILLED
19:48:20.257 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-2: OrderResponse{orderId='SENDER-000008', status='FILLED', message='Order filled successfully'}
19:48:20.257 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-2: OrderResponse{orderId='SENDER-000008', status='FILLED', message='Order filled successfully'}
19:48:23.257 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:23.258 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:23.258 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: BUY META 611 shares @ ${:.2f}
19:48:23.261 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000009: FILLED
19:48:23.261 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000009', status='FILLED', message='Order filled successfully'}
19:48:23.261 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000009', status='FILLED', message='Order filled successfully'}
19:48:23.261 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: BUY GOOGL 236 shares @ ${:.2f}
19:48:23.263 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000010: FILLED
19:48:23.263 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-2: OrderResponse{orderId='SENDER-000010', status='FILLED', message='Order filled successfully'}
19:48:23.263 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-2: OrderResponse{orderId='SENDER-000010', status='FILLED', message='Order filled successfully'}
19:48:26.256 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:26.258 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:26.258 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: SELL AVGO 1092 shares @ ${:.2f}
19:48:26.259 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000011: FILLED
19:48:26.259 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000011', status='FILLED', message='Order filled successfully'}
19:48:26.259 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000011', status='FILLED', message='Order filled successfully'}
19:48:26.259 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: SELL MSFT 664 shares @ ${:.2f}
19:48:26.260 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000012: FILLED
19:48:26.260 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-2: OrderResponse{orderId='SENDER-000012', status='FILLED', message='Order filled successfully'}
19:48:26.260 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-2: OrderResponse{orderId='SENDER-000012', status='FILLED', message='Order filled successfully'}
19:48:29.253 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:29.253 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:29.253 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: SELL TSLA 339 shares @ ${:.2f}
19:48:29.255 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000013: REJECTED
19:48:29.255 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000013', status='REJECTED', message='Order rejected by receiver'}
19:48:29.255 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000013', status='REJECTED', message='Order rejected by receiver'}
19:48:29.255 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: BUY GOOGL 945 shares @ ${:.2f}
19:48:29.256 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000014: FILLED
19:48:29.256 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-2: OrderResponse{orderId='SENDER-000014', status='FILLED', message='Order filled successfully'}
19:48:29.256 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-2: OrderResponse{orderId='SENDER-000014', status='FILLED', message='Order filled successfully'}
19:48:32.260 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:32.260 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:32.261 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: BUY ADBE 590 shares @ ${:.2f}
19:48:32.262 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000015: REJECTED
19:48:32.262 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000015', status='REJECTED', message='Order rejected by receiver'}
19:48:32.262 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000015', status='REJECTED', message='Order rejected by receiver'}
19:48:32.262 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: SELL TXN 524 shares @ ${:.2f}
19:48:32.263 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000016: FILLED
19:48:32.264 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-2: OrderResponse{orderId='SENDER-000016', status='FILLED', message='Order filled successfully'}
19:48:32.264 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-2: OrderResponse{orderId='SENDER-000016', status='FILLED', message='Order filled successfully'}
19:48:35.255 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:35.255 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:35.255 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: SELL TSLA 445 shares @ ${:.2f}
19:48:35.256 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000017: REJECTED
19:48:35.256 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000017', status='REJECTED', message='Order rejected by receiver'}
19:48:35.257 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000017', status='REJECTED', message='Order rejected by receiver'}
19:48:35.257 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: SELL INTC 755 shares @ ${:.2f}
19:48:35.258 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000018: FILLED
19:48:35.258 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-2: OrderResponse{orderId='SENDER-000018', status='FILLED', message='Order filled successfully'}
19:48:35.258 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-2: OrderResponse{orderId='SENDER-000018', status='FILLED', message='Order filled successfully'}
19:48:38.254 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:38.254 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:38.254 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: SELL NVDA 751 shares @ ${:.2f}
19:48:38.256 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000019: REJECTED
19:48:38.256 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000019', status='REJECTED', message='Order rejected by receiver'}
19:48:38.256 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000019', status='REJECTED', message='Order rejected by receiver'}
19:48:38.257 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: BUY ADI 1057 shares @ ${:.2f}
19:48:38.258 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000020: FILLED
19:48:38.258 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-2: OrderResponse{orderId='SENDER-000020', status='FILLED', message='Order filled successfully'}
19:48:38.258 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-2: OrderResponse{orderId='SENDER-000020', status='FILLED', message='Order filled successfully'}
19:48:41.258 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:41.258 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:41.259 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: SELL TSLA 149 shares @ ${:.2f}
19:48:41.261 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000021: REJECTED
19:48:41.261 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000021', status='REJECTED', message='Order rejected by receiver'}
19:48:41.261 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000021', status='REJECTED', message='Order rejected by receiver'}
19:48:41.261 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: BUY META 154 shares @ ${:.2f}
19:48:41.263 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000022: FILLED
19:48:41.263 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-2: OrderResponse{orderId='SENDER-000022', status='FILLED', message='Order filled successfully'}
19:48:41.263 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-2: OrderResponse{orderId='SENDER-000022', status='FILLED', message='Order filled successfully'}
19:48:44.259 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:44.260 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:44.260 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: SELL AMZN 150 shares @ ${:.2f}
19:48:44.262 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000023: REJECTED
19:48:44.262 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000023', status='REJECTED', message='Order rejected by receiver'}
19:48:44.262 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000023', status='REJECTED', message='Order rejected by receiver'}
19:48:44.262 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: BUY TSLA 416 shares @ ${:.2f}
19:48:44.264 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000024: FILLED
19:48:44.264 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-2: OrderResponse{orderId='SENDER-000024', status='FILLED', message='Order filled successfully'}
19:48:44.264 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-2: OrderResponse{orderId='SENDER-000024', status='FILLED', message='Order filled successfully'}
19:48:47.258 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:47.259 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:47.259 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: BUY INTC 762 shares @ ${:.2f}
19:48:47.262 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000025: REJECTED
19:48:47.262 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000025', status='REJECTED', message='Order rejected by receiver'}
19:48:47.262 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000025', status='REJECTED', message='Order rejected by receiver'}
19:48:47.262 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: BUY LRCX 441 shares @ ${:.2f}
19:48:47.263 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000026: FILLED
19:48:47.263 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-2: OrderResponse{orderId='SENDER-000026', status='FILLED', message='Order filled successfully'}
19:48:47.264 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-2: OrderResponse{orderId='SENDER-000026', status='FILLED', message='Order filled successfully'}
19:48:50.254 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:50.254 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:50.255 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: BUY KLAC 549 shares @ ${:.2f}
19:48:50.256 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000027: REJECTED
19:48:50.256 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000027', status='REJECTED', message='Order rejected by receiver'}
19:48:50.256 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000027', status='REJECTED', message='Order rejected by receiver'}
19:48:50.256 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: BUY GOOGL 616 shares @ ${:.2f}
19:48:50.257 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000028: FILLED
19:48:50.257 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-2: OrderResponse{orderId='SENDER-000028', status='FILLED', message='Order filled successfully'}
19:48:50.257 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-2: OrderResponse{orderId='SENDER-000028', status='FILLED', message='Order filled successfully'}
19:48:53.259 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:53.260 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:53.260 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: BUY AMD 299 shares @ ${:.2f}
19:48:53.262 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000029: REJECTED
19:48:53.262 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000029', status='REJECTED', message='Order rejected by receiver'}
19:48:53.262 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000029', status='REJECTED', message='Order rejected by receiver'}
19:48:53.263 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: SELL AVGO 229 shares @ ${:.2f}
19:48:53.264 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000030: FILLED
19:48:53.264 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-2: OrderResponse{orderId='SENDER-000030', status='FILLED', message='Order filled successfully'}
19:48:53.264 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-2: OrderResponse{orderId='SENDER-000030', status='FILLED', message='Order filled successfully'}
19:48:56.261 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 2 healthy receiver instances
19:48:56.262 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Found 2 receivers, sending mock order
19:48:56.262 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-1: BUY AAPL 618 shares @ ${:.2f}
19:48:56.264 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000031: REJECTED
19:48:56.264 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Received response from order-receiver-1: OrderResponse{orderId='SENDER-000031', status='REJECTED', message='Order rejected by receiver'}
19:48:56.264 [pool-2-thread-1] INFO  c.e.o.OrderSenderApplication - Order sent to order-receiver-1: OrderResponse{orderId='SENDER-000031', status='REJECTED', message='Order rejected by receiver'}
19:48:56.264 [pool-2-thread-1] INFO  c.e.ordersender.sender.OrderSender - Sending order to order-receiver-2: SELL NVDA 451 shares @ ${:.2f}
19:48:56.266 [pool-2-thread-1] INFO  c.example.ordersender.OrderManager - Added response for order SENDER-000032: FILLED
